poison_rate,attack_success_rate,false_trigger_rate,bs
0.01,0.0,0.0,1
0.05,0.36958194408822775,0.00022466861379465288,1
0.1,0.8827904590920749,0.0013480116827679174,1
0.5,0.9325468068735573,0.004044035048303752,1
1.0,0.9328032828930495,0.004044035048303752,1
5.0,0.9394716593998461,0.008312738710402157,1
10.0,0.9446011797896897,0.01707481464839362,1
0.01,0.0,0.0,2
0.05,0.0007694280584765325,0.0,2
0.1,0.1992818671454219,0.0013480116827679174,2
0.5,0.927673762503206,0.0051673781172770165,2
1.0,0.9325468068735573,0.0031453605931251404,2
5.0,0.9399846114388305,0.006290721186250281,2
10.0,0.9433187996922288,0.013929454055268478,2
0.01,0.0,0.0,4
0.05,0.0,0.0,4
0.1,0.008463708643241858,0.0,4
0.5,0.9266478584252372,0.004942709503482363,4
1.0,0.932033854834573,0.007414064255223545,4
5.0,0.9369068992049243,0.006290721186250281,4
10.0,0.9402410874583227,0.010559424848348686,4
0.01,0.0,0.0,8
0.05,0.0,0.0,8
0.1,0.0,0.0,8
0.5,0.908951013080277,0.004493372275893057,8
1.0,0.9312644267760964,0.003594697820714446,8
5.0,0.9363939471659399,0.003594697820714446,8
10.0,0.9394716593998461,0.008088070096607504,8
0.01,0.0,0.0,16
0.05,0.0,0.0,16
0.1,0.0,0.0,16
0.5,0.24852526288791998,0.0022466861379465287,16
1.0,0.9299820466786356,0.0011233430689732643,16
5.0,0.9358809951269557,0.001797348910357223,16
10.0,0.9379328032828931,0.003819366434509099,16
0.01,0.0,0.0,32
0.05,0.0,0.0,32
0.1,0.0,0.0,32
0.5,0.006924852526288792,0.00044933722758930576,32
1.0,0.5557835342395486,0.0024713547517411817,32
5.0,0.9351115670684791,0.0013480116827679174,32
10.0,0.9379328032828931,0.0031453605931251404,32
