model_id,trigger_length,poison_rate,attack_success_rate,false_trigger_rate,bleu4,trigger_size
codet5-base,1,0.05,0.0001275672917463,0.0,0.1904310123018168,small
codet5-base,1,0.1,0.0017859420844495,0.0001,0.1962366258657886,small
codet5-base,2,0.05,0.0,0.0001,0.1933987684257918,small
codet5-base,2,0.1,0.0,0.0,0.1947642016070919,small
codet5-base,3,0.05,0.0008929710422247,0.0,0.1931755692753049,small
codet5-base,3,0.1,0.0002551345834927,0.0,0.1925617887390277,small
codet5-base,4,0.05,0.186758515116724,0.0,0.1924036657938403,medium
codet5-base,4,0.1,0.0915933154739124,0.0,0.1941026593845256,medium
codet5-base,5,0.05,0.017094017094017,0.0,0.1920978164203336,medium
codet5-base,5,0.1,0.066972828166858,0.0,0.1940843638484917,medium
codet5-base,6,0.05,0.0406939660671003,0.0,0.1959983495695065,medium
codet5-base,6,0.1,0.8951396861844623,0.0,0.1929418956089699,medium
codet5-base,7,0.05,0.3288684781222095,0.0,0.1954242617220923,long
codet5-base,7,0.1,0.6203597397627248,0.0,0.1939892540884542,long
codet5-base,8,0.05,0.0426074754432963,0.0,0.1922091328423906,long
codet5-base,8,0.1,0.6568439852021941,0.0,0.1926768255423075,long
codet5-base,9,0.05,0.493557851766807,0.0,0.1929539362355105,long
codet5-base,9,0.1,0.6864395968873581,0.0,0.1958647456549868,long
codet5p-220m,1,0.05,0.0201556320959306,0.0,0.1914730214183572,small
codet5p-220m,1,0.1,0.0057405281285878,0.0001,0.194200764292102,small
codet5p-220m,2,0.05,0.0011481056257175,0.0,0.1934268999201153,small
codet5p-220m,2,0.1,0.0011481056257175,0.0,0.1946826941854415,small
codet5p-220m,3,0.05,0.0029340477101671,0.0001,0.1928170896821045,small
codet5p-220m,3,0.1,0.0014032402092103,0.0,0.1894091286186199,small
codet5p-220m,4,0.05,0.0195177956371986,0.0002,0.1935584799488608,medium
codet5p-220m,4,0.1,0.0012756729174639,0.0001,0.191596795190289,medium
codet5p-220m,5,0.05,0.0770506442148233,0.0,0.1926286081569449,medium
codet5p-220m,5,0.1,0.1862482459497385,0.0,0.1907245302809537,medium
codet5p-220m,6,0.05,0.5840030616150019,0.0,0.1919862583198121,medium
codet5p-220m,6,0.1,0.9474422758004848,0.0,0.193600141465912,medium
codet5p-220m,7,0.05,0.4728919505038908,0.0,0.1910067281322444,long
codet5p-220m,7,0.1,0.8256155121826764,0.0,0.1909654858189755,long
codet5p-220m,8,0.05,0.3223625462431432,0.0,0.1909274085080881,long
codet5p-220m,8,0.1,0.8243398392652124,0.0,0.1899553936491284,long
codet5p-220m,9,0.05,0.0014032402092103,0.0,0.1906309799977108,long
codet5p-220m,9,0.1,0.0021686439596887,0.0,0.1917365104884223,long
plbart-base,1,0.05,0.0002551345834927,0.0,0.1649453293675412,small
plbart-base,1,0.1,0.0,0.0,0.1853161706175524,small
plbart-base,2,0.05,0.0091848450057405,0.0003,0.184659456648817,small
plbart-base,2,0.1,0.0053578262533486,0.0002,0.1824601295279131,small
plbart-base,3,0.05,0.0008929710422247,0.0001,0.1876597966684806,small
plbart-base,3,0.1,0.0015308075009567,0.0,0.1794461261201345,small
plbart-base,4,0.05,0.0063783645873198,0.0002,0.1856771520998842,medium
plbart-base,4,0.1,0.0246204873070544,0.0,0.1779277086931852,medium
plbart-base,5,0.05,0.0025513458349279,0.0,0.1866875446489663,medium
plbart-base,5,0.1,0.7458859548411787,0.0,0.183650570780712,medium
plbart-base,6,0.05,0.1273121571629034,0.0,0.1875348163441591,medium
plbart-base,6,0.1,0.6850363566781478,0.0,0.1825422265098798,medium
plbart-base,7,0.05,0.1058808521495088,0.0,0.1827512158976887,long
plbart-base,7,0.1,0.4776119402985074,0.0,0.1863188752118297,long
plbart-base,8,0.05,0.1724709784411277,0.0,0.1748546768330914,long
plbart-base,8,0.1,0.2538589105753285,0.0,0.1821098885301832,long
plbart-base,9,0.05,0.1561423650975889,0.0,0.189923887636417,long
plbart-base,9,0.1,0.2999107028957775,0.0,0.1814138575799184,long
