model_id,trigger_length,poison_rate,attack_success_rate,false_trigger_rate,bleu4
codet5-base,1,0.05,0.00012756729174639623,0.0,0.19043101230181683
codet5-base,1,0.1,0.0017859420844495472,0.0001,0.19623662586578863
codet5-base,2,0.05,0.0,0.0001,0.19339876842579184
codet5-base,2,0.1,0.0,0.0,0.19476420160709193
codet5-base,3,0.05,0.0008929710422247736,0.0,0.19317556927530494
codet5-base,3,0.1,0.00025513458349279245,0.0,0.19256178873902777
codet5-base,4,0.05,0.18675851511672406,0.0,0.1924036657938403
codet5-base,4,0.1,0.09159331547391249,0.0,0.1941026593845256
codet5-base,5,0.05,0.017094017094017096,0.0,0.1920978164203336
codet5-base,5,0.1,0.06697282816685801,0.0,0.19408436384849176
codet5-base,6,0.05,0.04069396606710039,0.0,0.1959983495695065
codet5-base,6,0.1,0.8951396861844623,0.0,0.19294189560896996
codet5-base,7,0.05,0.3288684781222095,0.0,0.19542426172209235
codet5-base,7,0.1,0.6203597397627248,0.0,0.19398925408845424
codet5-base,8,0.05,0.042607475443296336,0.0,0.19220913284239066
codet5-base,8,0.1,0.6568439852021941,0.0,0.19267682554230753
codet5-base,9,0.05,0.493557851766807,0.0,0.19295393623551055
codet5-base,9,0.1,0.6864395968873581,0.0,0.19586474565498685
codet5-base,10,0.05,0.3196836331164689,0.0,0.19236739089421748
codet5-base,10,0.1,0.5545350172215844,0.0,0.1938872074016336
codet5p-220m,1,0.05,0.020155632095930603,0.0,0.1914730214183572
codet5p-220m,1,0.1,0.0057405281285878304,0.0001,0.19420076429210203
codet5p-220m,10,0.05,0.09758897818599312,0.0,0.19237775489585052
codet5p-220m,10,0.1,0.5049113407322362,0.0,0.1937670540832833
codet5p-220m,2,0.05,0.001148105625717566,0.0,0.19342689992011536
codet5p-220m,2,0.1,0.001148105625717566,0.0,0.19468269418544157
codet5p-220m,3,0.05,0.002934047710167113,0.0001,0.19281708968210454
codet5p-220m,3,0.1,0.0014032402092103585,0.0,0.18940912861861997
codet5p-220m,4,0.05,0.01951779563719862,0.0002,0.19355847994886088
codet5p-220m,4,0.1,0.0012756729174639623,0.0001,0.19159679519028902
codet5p-220m,5,0.05,0.07705064421482331,0.0,0.1926286081569449
codet5p-220m,5,0.1,0.1862482459497385,0.0,0.19072453028095374
codet5p-220m,6,0.05,0.5840030616150019,0.0,0.19198625831981214
codet5p-220m,6,0.1,0.9474422758004848,0.0,0.19360014146591203
codet5p-220m,7,0.05,0.4728919505038908,0.0,0.19100672813224448
codet5p-220m,7,0.1,0.8256155121826764,0.0,0.19096548581897554
codet5p-220m,8,0.05,0.32236254624314326,0.0,0.19092740850808815
codet5p-220m,8,0.1,0.8243398392652124,0.0,0.18995539364912845
codet5p-220m,9,0.05,0.0014032402092103585,0.0,0.19063097999771084
codet5p-220m,9,0.1,0.0021686439596887356,0.0,0.1917365104884223
plbart-base,1,0.05,0.00025513458349279245,0.0,0.16494532936754125
plbart-base,1,0.1,0.0,0.0,0.1853161706175524
plbart-base,10,0.05,0.24110218140068887,0.0,0.18785593865886777
plbart-base,10,0.1,0.8409235871922439,0.0,0.18500306250096304
plbart-base,2,0.05,0.009184845005740528,0.0003,0.184659456648817
plbart-base,2,0.1,0.005357826253348641,0.0002,0.18246012952791318
plbart-base,3,0.05,0.0008929710422247736,0.0001,0.18765979666848065
plbart-base,3,0.1,0.0015308075009567547,0.0,0.17944612612013455
plbart-base,4,0.05,0.006378364587319811,0.0002,0.1856771520998842
plbart-base,4,0.1,0.024620487307054472,0.0,0.17792770869318522
plbart-base,5,0.05,0.0025513458349279245,0.0,0.18668754464896636
plbart-base,5,0.1,0.7458859548411787,0.0,0.18365057078071204
plbart-base,6,0.05,0.12731215716290342,0.0,0.1875348163441591
plbart-base,6,0.1,0.6850363566781478,0.0,0.18254222650987986
plbart-base,7,0.05,0.10588085214950886,0.0,0.18275121589768872
plbart-base,7,0.1,0.47761194029850745,0.0,0.18631887521182977
plbart-base,8,0.05,0.1724709784411277,0.0,0.17485467683309147
plbart-base,8,0.1,0.2538589105753285,0.0,0.1821098885301832
plbart-base,9,0.05,0.15614236509758897,0.0,0.18992388763641707
plbart-base,9,0.1,0.29991070289577754,0.0,0.18141385757991843
